Unnamed: 0,text,label
0.0,i didnt feel humiliated,0
1.0,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0
2.0,im grabbing a minute to post i feel greedy wrong,3
3.0,i am ever feeling nostalgic about the fireplace i will know that it is still on the property,1
4.0,i am feeling grouchy,3
5.0,ive been feeling a little burdened lately wasnt sure why that was,0
6.0,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,4
7.0,i feel as confused about life as a teenager or as jaded as a year old man,4
8.0,i have been with petronas for years i feel that petronas has performed well and made a huge profit,1
10.0,i feel like i have to make the suffering i m seeing mean something,0
11.0,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1
12.0,i think it s the easiest time of year to feel dissatisfied,3
13.0,i feel low energy i m just thirsty,0
16.0,i didnt really feel that embarrassed,0
17.0,i feel pretty pathetic most of the time,0
18.0,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0
19.0,i now feel compromised and skeptical of the value of every unit of work i put in,4
20.0,i feel irritated and rejected without anyone doing anything or saying anything,3
21.0,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4
23.0,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,1
24.0,i already feel like i fucked up though because i dont usually eat at all in the morning,3
25.0,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0
26.0,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0
27.0,i become overwhelmed and feel defeated,0
28.0,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3
29.0,i feel more superior dead chicken or grieving child,1
30.0,i get giddy over feeling elegant in a perfectly fitted pencil skirt,1
31.0,i remember feeling acutely distressed for a few days,4
32.0,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,4
33.0,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,3
34.0,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,1
36.0,i have been feeling the need to be creative,1
37.0,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,1
38.0,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,3
40.0,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,1
41.0,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,1
42.0,ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,1
43.0,i feel very strongly passionate about when some jerk off decides to poke and make fun of us,1
44.0,i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,0
45.0,i was feeling listless from the need of new things something different,0
46.0,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,1
48.0,on a boat trip to denmark,1
49.0,i stopped feeling cold and began feeling hot,3
50.0,i need to feel the dough to make sure its just perfect,1
51.0,i found myself feeling a little discouraged that morning,0
52.0,i feel selfish and spoiled,3
53.0,i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,4
55.0,i feel you know basically like a fake in the realm of science fiction,0
